invoice_number,date,client_name,client_id,subtotal,tax,total,file
000001,2025-09-08,Sarita Sanz Querol,035-43-2466,7959.74,0.0,7959.74,invoices_output\invoice_000001.html
000002,2025-03-24,María Mena Nuñez,946-15-5086,1684.8600000000001,0.0,1684.86,invoices_output\invoice_000002.html
000003,2025-08-04,Juan Luis Llamas Gonzalo,763-97-6496,1586.8200000000002,285.63,1872.45,invoices_output\invoice_000003.html
000004,2024-12-15,Anastasio de Estrada,647-80-8278,1993.2399999999998,239.19,2232.43,invoices_output\invoice_000004.html
000005,2025-08-25,Tere Alexandra Fuertes Gordillo,613-01-9065,4522.08,542.65,5064.73,invoices_output\invoice_000005.html
000006,2025-02-10,Jesús Mateo Carlos,381-61-9358,6221.39,1119.85,7341.24,invoices_output\invoice_000006.html
000007,2025-01-24,Jafet Manso Berenguer,774-26-9420,2174.9,0.0,2174.9,invoices_output\invoice_000007.html
000008,2025-06-19,Jacobo Alvarado,619-63-2976,8722.59,1570.07,10292.66,invoices_output\invoice_000008.html
000009,2024-11-23,Caridad Noelia Iborra Donoso,096-37-8765,1714.0,308.52,2022.52,invoices_output\invoice_000009.html
000010,2025-02-01,Matilde Arco Jordán,053-40-3473,3100.33,558.06,3658.39,invoices_output\invoice_000010.html
000011,2024-11-26,Carlota Salvà Bou,958-89-3741,3241.33,583.44,3824.77,invoices_output\invoice_000011.html
000012,2025-05-29,Flora Frutos Diéguez,201-12-1773,2928.48,527.13,3455.61,invoices_output\invoice_000012.html
000013,2024-12-14,Nicolás Giner Vilaplana,913-12-7156,7435.03,0.0,7435.03,invoices_output\invoice_000013.html
000014,2025-09-29,José Luis Jose Miguel Franch Jimenez,248-58-0410,9149.29,1646.87,10796.16,invoices_output\invoice_000014.html
000015,2025-06-26,Marcelino Cerdán Soto,269-35-5346,2339.04,280.68,2619.72,invoices_output\invoice_000015.html
000016,2025-05-02,Florinda Salcedo Cueto,781-19-6819,3847.42,0.0,3847.42,invoices_output\invoice_000016.html
